Master Record Number,Year,Month,Day,Hour,Weekend,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude
901618675,2019,4,7,1200,Weekend,2-Car,No injury/unknown,,E COVENANTER DR,39.155344,-86.503088
901576795,2019,1,7,300,Weekend,2-Car,No injury/unknown,UNSAFE BACKING,ALLEN & MADISON ST,39.15533405,-86.53734856
901660937,2019,7,3,1200,Weekday,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,COVENANTER DR & NOTA,39.15533,-86.50320703
901704377,2019,10,7,0,Weekend,2-Car,No injury/unknown,UNSAFE BACKING,W ALDER CT,39.155264,-86.57042
901704499,2019,10,6,2100,Weekend,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,COLLEGE MALL RD & COVANANTER,39.15518,-86.49774
901608727,2019,3,3,2000,Weekday,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,COVENANTER & S COLLEGE MALL RD,39.155152,-86.497888
901635590,2019,5,6,2200,Weekend,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,COLLEGE MALL RD & COVENANTER,39.155152,-86.497888
901737114,2019,12,5,2300,Weekday,1-Car,No injury/unknown,UNSAFE SPEED,E COVENANTER & S COLLEGE MALL RD,39.155152,-86.497888
901738419,2019,12,1,2200,Weekday,1-Car,No injury/unknown,IMPROPER TURNING,COLLEGE MALL RD & COVENANTER,39.155152,-86.497888
901735612,2019,11,4,700,Weekday,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,BLOOMFIELD RD & ROLLING RIDGE,39.15496029,-86.5632256
901685585,2019,9,5,1800,Weekday,1-Car,No injury/unknown,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,S ROLLING RIDGE & W BLOOMFIELD RD,39.15496,-86.56323866
901574163,2019,1,2,400,Weekday,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,BLOOMFIELD RD & ROLLING RIDGE,39.15494734,-86.56324256
901686697,2019,9,6,1700,Weekday,2-Car,No injury/unknown,,S CLARIZZ BLVD,39.15494,-86.490859
901565090,2019,1,4,200,Weekday,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,COVENANTER DR,39.154924,-86.49353
901754764,2019,12,7,700,Weekend,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,MCCARTNEY & SARE RD,39.15487887,-86.49695992
901705724,2019,10,5,700,Weekday,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,CURRY PIKE & STEBU,39.15487,-86.5826113
901710501,2019,10,3,1800,Weekday,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S PATTERSON DR,39.154784,-86.542608
901739061,2019,12,2,1400,Weekday,2-Car,No injury/unknown,LEFT OF CENTER,S PATTERSON DR,39.15473297,-86.5426319
901670109,2019,7,6,2300,Weekend,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,E COVENANTER DR,39.154624,-86.49179
901707254,2019,10,5,1200,Weekday,3+ Cars,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,2100 N WALNUT ST & 45 46,39.15459181,-86.53454312
901582244,2019,1,2,1500,Weekday,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E FENBROOK & S SMITH RD,39.15454,-86.4806
901678484,2019,8,3,2100,Weekday,Moped/Motorcycle,Non-incapacitating,UNSAFE SPEED,PARK SQUARE & W GIFFORD RD,39.154448,-86.591696
901568757,2019,1,1,1600,Weekend,1-Car,No injury/unknown,ROADWAY SURFACE CONDITION,W GIFFORD RD,39.15441,-86.588838
901622685,2019,4,2,1000,Weekday,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S CURRY PIKE,39.154402,-86.582609
901652249,2019,6,5,1000,Weekday,2-Car,Fatal,OVERCORRECTING/OVERSTEERING,BRUMMETTS CREEK ROAD & SR46E,39.154352,-86.39562221
901658732,2019,7,5,1400,Weekday,2-Car,No injury/unknown,UNSAFE BACKING,DAVIS & LINCOLN ST,39.154352,-86.531152
901739543,2019,12,3,700,Weekday,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,W BLOOMFIELD & WEIMER RD,39.154272,-86.564176
901746608,2019,12,2,100,Weekday,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,WEIMER & WEST BLOOMFIELD RD,39.154272,-86.564176
901731444,2019,11,3,1700,Weekday,2-Car,No injury/unknown,,S COLLEGE MALL RD,39.15427029,-86.49764657
901584613,2019,2,6,2100,Weekend,Pedestrian,Non-incapacitating,UNSAFE BACKING,COLLEGE MALL RD,39.154261,-86.497703
901628773,2019,5,7,1200,Weekend,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S COLLEGE MALL RD,39.154261,-86.497703
901639442,2019,5,7,1300,Weekend,2-Car,No injury/unknown,IMPROPER TURNING,S COLLEGE MALL RD,39.154261,-86.497703
901675115,2019,8,5,1600,Weekday,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S COLLEGE MALL RD,39.154261,-86.497703
